Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,Growing of perennial crops,ISIC Group
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,"Growing of vegetables and melons, roots and tubers",ISIC Class
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,Post-harvest crop activities,ISIC Class
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,Raising of poultry,ISIC Class
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,Seed processing for propagation,ISIC Class
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Food and beverage service activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Gambling and betting activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Information service activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,Warehousing and support activities for transportation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Postal and courier activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Programming and broadcasting activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Civil engineering,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Construction of buildings,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,Specialized construction activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Real estate activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Sports activities and amusement and recreation activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,Warehousing and support activities for transportation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,Telecommunications,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation","Creative, arts and entertainment activities","Creative, arts and entertainment activities",ISIC Group,"Travel agency, tour operator, reservation service and related activities",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,Growing of perennial crops,ISIC Group
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,"Growing of vegetables and melons, roots and tubers",ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,Post-harvest crop activities,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,Raising of poultry,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,Seed processing for propagation,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Accommodation,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Creative, arts and entertainment activities",ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,Growing of perennial crops,ISIC Group
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,"Growing of vegetables and melons, roots and tubers",ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,Post-harvest crop activities,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,Raising of poultry,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,Seed processing for propagation,ISIC Class
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Food and beverage service activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Postal and courier activities,ISIC Division
